type,dropped_source,dropped_source_file,dropped_idx,kept_source,kept_source_file,kept_idx,similarity
exact,hh_txt,hh_архитектор.txt,51,hh_txt,hh_архитектор.txt,20,1.0
exact,hh_txt,hh_архитектор.txt,66,hh_txt,hh_архитектор.txt,15,1.0
exact,hh_txt,hr_консультант аналитик.txt,16,hh_txt,hr_консультант аналитик.txt,7,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,25,telegram_jsonl,tg_vacancies.jsonl,15,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,40,telegram_jsonl,tg_vacancies.jsonl,17,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,47,telegram_jsonl,tg_vacancies.jsonl,10,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,49,telegram_jsonl,tg_vacancies.jsonl,9,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,50,telegram_jsonl,tg_vacancies.jsonl,10,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,51,telegram_jsonl,tg_vacancies.jsonl,11,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,52,telegram_jsonl,tg_vacancies.jsonl,12,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,53,telegram_jsonl,tg_vacancies.jsonl,13,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,54,telegram_jsonl,tg_vacancies.jsonl,14,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,55,telegram_jsonl,tg_vacancies.jsonl,15,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,56,telegram_jsonl,tg_vacancies.jsonl,16,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,57,telegram_jsonl,tg_vacancies.jsonl,17,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,58,telegram_jsonl,tg_vacancies.jsonl,18,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,66,telegram_jsonl,tg_vacancies.jsonl,37,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,67,telegram_jsonl,tg_vacancies.jsonl,41,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,70,telegram_jsonl,tg_vacancies.jsonl,65,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,74,telegram_jsonl,tg_vacancies.jsonl,41,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,78,telegram_jsonl,tg_vacancies.jsonl,33,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,79,telegram_jsonl,tg_vacancies.jsonl,34,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,80,telegram_jsonl,tg_vacancies.jsonl,35,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,81,telegram_jsonl,tg_vacancies.jsonl,36,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,82,telegram_jsonl,tg_vacancies.jsonl,37,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,83,telegram_jsonl,tg_vacancies.jsonl,38,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,84,telegram_jsonl,tg_vacancies.jsonl,39,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,85,telegram_jsonl,tg_vacancies.jsonl,17,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,86,telegram_jsonl,tg_vacancies.jsonl,41,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,102,telegram_jsonl,tg_vacancies.jsonl,60,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,103,telegram_jsonl,tg_vacancies.jsonl,61,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,104,telegram_jsonl,tg_vacancies.jsonl,62,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,105,telegram_jsonl,tg_vacancies.jsonl,63,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,106,telegram_jsonl,tg_vacancies.jsonl,64,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,107,telegram_jsonl,tg_vacancies.jsonl,65,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,108,telegram_jsonl,tg_vacancies.jsonl,37,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,109,telegram_jsonl,tg_vacancies.jsonl,41,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,121,telegram_jsonl,tg_vacancies.jsonl,118,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,126,telegram_jsonl,tg_vacancies.jsonl,88,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,127,telegram_jsonl,tg_vacancies.jsonl,89,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,142,telegram_jsonl,tg_vacancies.jsonl,136,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,149,telegram_jsonl,tg_vacancies.jsonl,136,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,152,telegram_jsonl,tg_vacancies.jsonl,136,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,161,telegram_jsonl,tg_vacancies.jsonl,129,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,162,telegram_jsonl,tg_vacancies.jsonl,130,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,163,telegram_jsonl,tg_vacancies.jsonl,131,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,164,telegram_jsonl,tg_vacancies.jsonl,132,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,165,telegram_jsonl,tg_vacancies.jsonl,133,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,166,telegram_jsonl,tg_vacancies.jsonl,134,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,167,telegram_jsonl,tg_vacancies.jsonl,135,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,168,telegram_jsonl,tg_vacancies.jsonl,136,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,169,telegram_jsonl,tg_vacancies.jsonl,137,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,170,telegram_jsonl,tg_vacancies.jsonl,138,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,171,telegram_jsonl,tg_vacancies.jsonl,139,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,172,telegram_jsonl,tg_vacancies.jsonl,140,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,173,telegram_jsonl,tg_vacancies.jsonl,141,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,174,telegram_jsonl,tg_vacancies.jsonl,136,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,175,telegram_jsonl,tg_vacancies.jsonl,143,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,188,telegram_jsonl,tg_vacancies.jsonl,158,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,189,telegram_jsonl,tg_vacancies.jsonl,183,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,191,telegram_jsonl,tg_vacancies.jsonl,156,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,192,telegram_jsonl,tg_vacancies.jsonl,157,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,193,telegram_jsonl,tg_vacancies.jsonl,158,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,194,telegram_jsonl,tg_vacancies.jsonl,159,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,208,telegram_jsonl,tg_vacancies.jsonl,177,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,209,telegram_jsonl,tg_vacancies.jsonl,178,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,210,telegram_jsonl,tg_vacancies.jsonl,179,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,211,telegram_jsonl,tg_vacancies.jsonl,180,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,212,telegram_jsonl,tg_vacancies.jsonl,181,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,213,telegram_jsonl,tg_vacancies.jsonl,182,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,227,telegram_jsonl,tg_vacancies.jsonl,196,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,228,telegram_jsonl,tg_vacancies.jsonl,197,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,229,telegram_jsonl,tg_vacancies.jsonl,198,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,239,telegram_jsonl,tg_vacancies.jsonl,215,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,240,telegram_jsonl,tg_vacancies.jsonl,216,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,241,telegram_jsonl,tg_vacancies.jsonl,217,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,242,telegram_jsonl,tg_vacancies.jsonl,218,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,243,telegram_jsonl,tg_vacancies.jsonl,219,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,266,telegram_jsonl,tg_vacancies.jsonl,260,1.0
near,hh_txt,hh_архитектор.txt,19,hh_txt,hh_архитектор.txt,0,0.9953200889386106
near,hh_txt,hh_архитектор.txt,21,hh_txt,hh_архитектор.txt,20,0.9531347507274911
near,hh_txt,hh_архитектор.txt,54,hh_txt,hh_архитектор.txt,22,0.9741135361875843
near,hh_txt,hh_архитектор.txt,56,hh_txt,hh_архитектор.txt,23,0.9560398799776915
near,hh_txt,hh_архитектор.txt,32,hh_txt,hh_архитектор.txt,24,0.9983191378150784
near,hh_txt,hh_программист.txt,56,hh_txt,hh_архитектор.txt,42,0.9801252599620055
near,hh_txt,hh_программист стажер.txt,17,hh_txt,hh_программист стажер.txt,6,0.9810968107497919
near,hh_txt,hh_программист стажер.txt,26,hh_txt,hh_программист стажер.txt,6,0.994050169141804
near,hh_txt,hh_программист стажер.txt,28,hh_txt,hh_программист стажер.txt,13,0.9943518741034795
near,hh_txt,hh_программист.txt,68,hh_txt,hh_программист.txt,49,0.9965241965691383
near,hh_txt,hr консультант аналитик программист.txt,6,hh_txt,hh_программист.txt,71,0.9873127326116827
near,hh_txt,hr_консультант.txt,28,hh_txt,hr_консультант.txt,26,0.9984233290494958
near,telegram_jsonl,tg_vacancies.jsonl,59,telegram_jsonl,tg_vacancies.jsonl,19,0.9539877904138679
near,telegram_jsonl,tg_vacancies.jsonl,143,telegram_jsonl,tg_vacancies.jsonl,139,0.9859653473817339
near,telegram_jsonl,tg_vacancies.jsonl,154,telegram_jsonl,tg_vacancies.jsonl,146,0.9820494849704012
near,telegram_jsonl,tg_vacancies.jsonl,183,telegram_jsonl,tg_vacancies.jsonl,177,1.0000000000000004
